Timestamp,Slide_Number,Position,Image_Path
2025-07-08_153258,1,A,contact_angle_experiment_2025-07-08_152937/slide1_posA_z-40.2.tiff
2025-07-08_153508,1,B,contact_angle_experiment_2025-07-08_152937/slide1_posB_z-39.7.tiff
2025-07-08_154010,1,C,contact_angle_experiment_2025-07-08_152937/slide1_posC_z-40.2.tiff
2025-07-08_154221,1,D,contact_angle_experiment_2025-07-08_152937/slide1_posD_z-39.5.tiff
2025-07-08_154710,2,A,contact_angle_experiment_2025-07-08_152937/slide2_posA_z-39.2.tiff
2025-07-08_155001,2,B,contact_angle_experiment_2025-07-08_152937/slide2_posB_z-39.7.tiff
2025-07-08_155155,2,C,contact_angle_experiment_2025-07-08_152937/slide2_posC_z-39.7.tiff
2025-07-08_155326,2,D,contact_angle_experiment_2025-07-08_152937/slide2_posD_z-39.5.tiff
2025-07-08_155626,3,A,contact_angle_experiment_2025-07-08_152937/slide3_posA_z-39.5.tiff
2025-07-08_155815,3,B,contact_angle_experiment_2025-07-08_152937/slide3_posB_z-39.7.tiff
2025-07-08_160024,3,C,contact_angle_experiment_2025-07-08_152937/slide3_posC_z-39.5.tiff
2025-07-08_160216,3,D,contact_angle_experiment_2025-07-08_152937/slide3_posD_z-39.0.tiff
2025-07-08_160600,4,A,contact_angle_experiment_2025-07-08_152937/slide4_posA_z-39.5.tiff
2025-07-08_160910,4,B,contact_angle_experiment_2025-07-08_152937/slide4_posB_z-39.5.tiff
2025-07-08_161129,4,C,contact_angle_experiment_2025-07-08_152937/slide4_posC_z-40.2.tiff
2025-07-08_162023,4,D,contact_angle_experiment_2025-07-08_152937/slide4_posD_z-39.2.tiff
2025-07-08_162350,5,A,contact_angle_experiment_2025-07-08_152937/slide5_posA_z-40.2.tiff
2025-07-08_162645,5,B,contact_angle_experiment_2025-07-08_152937/slide5_posB_z-39.5.tiff
2025-07-08_162840,5,C,contact_angle_experiment_2025-07-08_152937/slide5_posC_z-39.5.tiff
2025-07-08_163138,5,D,contact_angle_experiment_2025-07-08_152937/slide5_posD_z-39.7.tiff
2025-07-08_163511,6,A,contact_angle_experiment_2025-07-08_152937/slide6_posA_z-39.0.tiff
2025-07-08_163700,6,B,contact_angle_experiment_2025-07-08_152937/slide6_posB_z-39.0.tiff
2025-07-08_163832,6,C,contact_angle_experiment_2025-07-08_152937/slide6_posC_z-39.2.tiff
2025-07-08_164040,6,D,contact_angle_experiment_2025-07-08_152937/slide6_posD_z-39.2.tiff
2025-07-08_164351,7,A,contact_angle_experiment_2025-07-08_152937/slide7_posA_z-39.7.tiff
2025-07-08_164603,7,B,contact_angle_experiment_2025-07-08_152937/slide7_posB_z-39.0.tiff
2025-07-08_164754,7,C,contact_angle_experiment_2025-07-08_152937/slide7_posC_z-39.5.tiff
2025-07-08_164931,7,D,contact_angle_experiment_2025-07-08_152937/slide7_posD_z-39.7.tiff
2025-07-08_165429,8,A,contact_angle_experiment_2025-07-08_152937/slide8_posA_z-40.0.tiff
2025-07-08_165601,8,B,contact_angle_experiment_2025-07-08_152937/slide8_posB_z-40.0.tiff
2025-07-08_165739,8,C,contact_angle_experiment_2025-07-08_152937/slide8_posC_z-40.0.tiff
2025-07-08_165928,8,D,contact_angle_experiment_2025-07-08_152937/slide8_posD_z-40.0.tiff
